date,match,pred_1x2,real_1x2,p(1/X/2),pred_score,acierto_1x2,acierto_exacto
2026-06-11,Mexico 2-0 South Africa,1,1,84/12/4,2-0,✓,✓
2026-06-11,South Korea 2-1 Czech Republic,1,1,44/28/28,1-1,✓,✗
2026-06-12,Canada 1-1 Bosnia and Herzegovina,1,X,77/16/7,2-0,✗,✗
2026-06-12,United States 4-1 Paraguay,1,1,41/29/30,1-1,✓,✗
