date,group,home,away,status,real_score,exact_score,exact_prob,alt_scores,p_home,p_draw,p_away,xg_home,xg_away,scorer_home,scorer_away,result
2026-06-17,K,Uzbekistan,Colombia,pendiente,,0-2,12.8,0-1 (12%)  ·  1-1 (10%),12.9,21.8,65.3,0.75,1.96,"Abbosbek Fayzullaev, Eldor Shomurodov","Luis Díaz, Luis Suárez",Victoria Colombia 2-0 (visitante)
2026-06-17,L,England,Croatia,pendiente,,1-1,12.7,1-0 (12%)  ·  2-0 (10%),50.7,26.9,22.4,1.55,0.95,"Harry Kane, Bukayo Saka","Andrej Kramarić, Ivan Perišić",Empate 1-1
2026-06-17,L,Ghana,Panama,pendiente,,0-1,12.5,0-2 (12%)  ·  1-1 (11%),14.2,22.7,63.2,0.78,1.89,"Jordan Ayew, Mohammed Kudus","Ismael Díaz, José Fajardo",Victoria Panama 1-0 (visitante)
2026-06-18,A,Czech Republic,South Africa,pendiente,,1-1,12.4,1-0 (12%)  ·  2-0 (10%),53.2,26.2,20.6,1.61,0.91,"Patrik Schick, Tomáš Souček","Lyle Foster, Oswin Appollis",Empate 1-1
2026-06-18,A,Mexico,South Korea,pendiente,,1-0,12.5,1-1 (12%)  ·  2-0 (11%),57.6,24.8,17.6,1.73,0.85,"Raúl Jiménez, César Montes","Son Heung-min, Lee Kang-in",Victoria Mexico 1-0
2026-06-18,B,Switzerland,Bosnia and Herzegovina,pendiente,,2-0,13.4,1-0 (12%)  ·  3-0 (9%),69.8,19.7,10.5,2.12,0.7,"Breel Embolo, Zeki Amdouni","Edin Džeko, Ermedin Demirović",Victoria Switzerland 2-0
2026-06-18,B,Canada,Qatar,pendiente,,2-0,14.2,3-0 (13%)  ·  1-0 (10%),82.5,12.7,4.8,2.71,0.54,"Jonathan David, Tajon Buchanan","Almoez Ali, Akram Afif",Victoria Canada 2-0
2026-06-19,C,Scotland,Morocco,pendiente,,1-1,12.6,0-1 (12%)  ·  0-2 (10%),21.7,26.6,51.7,0.94,1.58,"Scott McTominay, John McGinn","Ayoub El Kaabi, Brahim Díaz",Empate 1-1
2026-06-19,C,Brazil,Haiti,pendiente,,2-0,14.2,3-0 (12%)  ·  1-0 (11%),78.3,15.2,6.5,2.48,0.6,"Raphinha, Vinícius Júnior","Duckens Nazon, Frantzdy Pierrot",Victoria Brazil 2-0
2026-06-19,D,United States,Australia,pendiente,,1-1,13.2,1-0 (12%)  ·  0-0 (9%),46.4,27.8,25.8,1.45,1.02,"Jesús Ferreira, Folarin Balogun","Jackson Irvine, Craig Goodwin",Empate 1-1
2026-06-19,D,Turkey,Paraguay,pendiente,,1-1,12.5,1-0 (12%)  ·  2-0 (10%),52.5,26.4,21.1,1.6,0.92,"Kerem Aktürkoğlu, Hakan Çalhanoğlu","Julio Enciso, Antonio Sanabria",Empate 1-1
2026-06-20,E,Germany,Ivory Coast,pendiente,,1-0,12.5,2-0 (12%)  ·  1-1 (11%),60.9,23.6,15.5,1.83,0.81,"Florian Wirtz, Kai Havertz","Franck Kessié, Amad Diallo",Victoria Germany 1-0
2026-06-20,E,Ecuador,Curaçao,pendiente,,2-0,14.2,3-0 (13%)  ·  1-0 (10%),81.6,13.2,5.2,2.66,0.55,"Enner Valencia, Félix Torres","Gervane Kastaneer, Kenji Gorré",Victoria Ecuador 2-0
2026-06-20,F,Netherlands,Sweden,pendiente,,2-0,13.1,1-0 (12%)  ·  1-1 (10%),67.7,20.7,11.6,2.04,0.72,"Cody Gakpo, Memphis Depay","Viktor Gyökeres, Alexander Isak",Victoria Netherlands 2-0
2026-06-20,F,Tunisia,Japan,pendiente,,0-2,13.4,0-1 (12%)  ·  1-1 (9%),10.7,19.9,69.4,0.7,2.1,"Mohamed Ali Ben Romdhane, Elias Achouri","Ayase Ueda, Takumi Minamino",Victoria Japan 2-0 (visitante)
2026-06-21,G,Belgium,Iran,pendiente,,1-1,13.4,1-0 (11%)  ·  0-0 (9%),44.5,28.2,27.3,1.41,1.05,"Romelu Lukaku, Kevin De Bruyne","Mehdi Taremi, Sardar Azmoun",Empate 1-1
2026-06-21,G,New Zealand,Egypt,pendiente,,1-1,13.5,0-1 (11%)  ·  0-0 (9%),29.5,28.5,41.9,1.09,1.35,"Chris Wood, Ben Waine","Mohamed Salah, Trézéguet",Empate 1-1
2026-06-21,H,Spain,Saudi Arabia,pendiente,,3-0,14.1,4-0 (13%)  ·  2-0 (11%),93.0,5.6,1.4,3.67,0.4,"Mikel Oyarzabal, Mikel Merino","Firas Al-Buraikan, Saleh Al-Shehri",Victoria Spain 3-0
2026-06-21,H,Uruguay,Cape Verde,pendiente,,2-0,14.0,1-0 (12%)  ·  3-0 (11%),74.2,17.4,8.3,2.29,0.64,"Darwin Núñez, Giorgian de Arrascaeta","Dailon Livramento, Jamiro Monteiro",Victoria Uruguay 2-0
